0,digit
1,letter
2,int
3,while
4,if
5,else
6,get
7,put
8,+
10,-
11,=
12,==
13,<>
15,>
16,>=
17,<
18,<=
19,&&
20,&
21,||
22,|
23,!
24,!=
25,;
26,","
27,{
28,}
29,(
30,)
31,//
32,/*
33,*/
34,\t
35,\r
36,\n
